"created","tp","pre","hum","amb"
2018-04-20 08:01:46,25.05,0,52.94,29.91
2018-04-20 08:01:58,25.05,0,52.91,29.91
2018-04-20 08:02:09,25.02,0,52.91,29.92
2018-04-20 08:02:21,25.09,0,52.9,29.91
2018-04-20 08:02:32,25.12,0,52.91,29.91
2018-04-20 08:02:43,0,0,52.91,0
2018-04-20 08:02:44,25.09,0,0,29.92
2018-04-20 08:02:55,25.02,0,52.91,29.92
2018-04-20 08:03:06,25.05,0,52.91,29.93
2018-04-20 08:03:17,0,0,52.91,29.92
2018-04-20 08:03:18,25.02,0,0,0
2018-04-20 08:03:29,25.02,0,52.91,29.93
2018-04-20 08:03:41,25.09,0,52.91,29.93
2018-04-20 08:03:52,24.99,0,52.9,29.93
2018-04-20 08:04:04,24.99,0,52.9,29.93
2018-04-20 08:04:16,24.99,0,52.89,29.93
2018-04-20 08:04:27,25.02,0,52.9,29.93
2018-04-20 08:04:38,25.02,0,52.91,29.93
2018-04-20 08:04:50,24.99,0,52.91,29.93
2018-04-20 08:05:01,24.99,0,52.93,29.93
2018-04-20 08:05:12,24.99,0,52.93,29.93
2018-04-20 08:05:23,25.02,0,52.95,29.92
2018-04-20 08:05:35,25.05,0,52.95,29.93
2018-04-20 08:05:46,25.05,0,52.95,29.93
2018-04-20 08:05:58,25.02,0,52.95,29.93
2018-04-20 08:06:09,25.05,0,52.97,29.93
2018-04-20 08:06:21,25.05,0,52.97,29.93
2018-04-20 08:06:32,25.02,0,52.98,29.93
2018-04-20 08:06:43,24.99,0,52.99,29.93
2018-04-20 08:06:55,24.99,0,52.97,29.93
2018-04-20 08:07:06,25.02,0,53.02,29.93
2018-04-20 08:07:18,25.09,0,52.99,29.93
2018-04-20 08:07:30,25.02,0,52.98,29.94
2018-04-20 08:07:41,25.02,0,53,29.93
2018-04-20 08:07:52,25.02,0,52.98,29.93
2018-04-20 08:08:03,0,0,53.01,29.93
2018-04-20 08:08:04,25.02,0,0,0
2018-04-20 08:08:15,25.02,0,53.01,29.93
2018-04-20 08:08:26,25.02,0,53.03,29.93
2018-04-20 08:08:37,0,0,53.04,29.93
2018-04-20 08:08:38,25.05,0,0,0
2018-04-20 08:08:49,25.05,0,53.04,29.94
2018-04-20 08:09:00,25.09,0,53.04,29.94
2018-04-20 08:09:11,25.05,0,53.03,29.94
2018-04-20 08:09:22,0,0,53.05,0
2018-04-20 08:09:23,25.02,0,0,29.94
2018-04-20 08:09:34,25.02,0,53.05,29.94
2018-04-20 08:09:45,25.09,0,53.06,29.94
2018-04-20 08:09:56,25.09,0,53.05,29.94
2018-04-20 08:10:08,25.15,0,53.05,29.95
2018-04-20 08:10:19,25.12,0,53.07,29.95
2018-04-20 08:10:31,25.19,0,53.04,29.95
2018-04-20 08:10:42,25.12,0,53.07,29.96
2018-04-20 08:10:54,25.05,0,53.07,29.95
2018-04-20 08:11:06,25.12,0,53.03,29.96
2018-04-20 08:11:17,25.15,0,53.04,29.96
2018-04-20 08:11:28,25.09,0,53.04,29.97
2018-04-20 08:11:40,25.09,0,53.04,29.97
2018-04-20 08:11:51,25.12,0,53.06,29.97
2018-04-20 08:12:02,0,0,53.01,0
2018-04-20 08:12:03,25.09,0,0,29.98
2018-04-20 08:12:14,25.15,0,53.04,29.98
2018-04-20 08:12:25,25.05,0,53.03,29.98
2018-04-20 08:12:37,25.09,0,53.06,29.98
2018-04-20 08:12:48,25.15,0,53.06,29.98
2018-04-20 08:12:59,25.12,0,53.06,29.99
2018-04-20 08:13:10,0,0,53.05,29.99
2018-04-20 08:13:11,25.19,0,0,0
2018-04-20 08:13:22,25.12,0,53.05,29.99
2018-04-20 08:13:33,25.12,0,53.06,29.99
2018-04-20 08:13:45,25.12,0,53.04,29.99
2018-04-20 08:13:56,0,0,53.02,0
2018-04-20 08:13:57,25.12,0,0,30
2018-04-20 08:14:08,25.15,0,53.05,30
2018-04-20 08:14:19,25.12,0,53.05,30
2018-04-20 08:14:30,0,0,53.04,0
2018-04-20 08:14:31,25.19,0,0,30
2018-04-20 08:14:42,25.12,0,53.05,30
2018-04-20 08:14:54,25.09,0,53.05,30.01
2018-04-20 08:15:05,25.05,0,53.06,30.01
2018-04-20 08:15:16,25.15,0,53.06,30.01
2018-04-20 08:15:28,25.12,0,53.05,30.01
2018-04-20 08:15:39,0,0,53.05,0
2018-04-20 08:15:40,25.12,0,0,30.02
2018-04-20 08:15:51,25.15,0,53.06,30.02
2018-04-20 08:16:02,25.15,0,53.05,30.03
2018-04-20 08:16:14,25.09,0,53.03,30.03
2018-04-20 08:16:25,0,0,53.02,0
2018-04-20 08:16:26,25.12,0,0,30.04
2018-04-20 08:16:37,25.09,0,53.03,30.05
2018-04-20 08:16:48,25.12,0,53.01,30.05
2018-04-20 08:17:00,25.12,0,53,30.06
2018-04-20 08:17:11,25.15,0,52.98,30.07
2018-04-20 08:17:23,25.09,0,52.99,30.07
2018-04-20 08:17:34,25.15,0,52.96,30.06
2018-04-20 08:17:45,25.15,0,52.96,30.07
2018-04-20 08:17:56,0,0,52.95,0
2018-04-20 08:17:57,25.09,0,0,30.07
2018-04-20 08:18:08,25.05,0,52.95,30.07
2018-04-20 08:18:19,0,0,52.95,30.07
2018-04-20 08:18:20,25.09,0,0,0
2018-04-20 08:18:31,25.05,0,52.96,30.08
2018-04-20 08:18:42,0,0,52.95,30.08
